page,institution,sn,programme,code,admission_requirements,minimum_points,capacity,duration_years,problems
309,"University of Dar es Salaam (UDSM), Dar es Salaam",44.,Bachelor of Science in Mechanical Engineering,UD055,Two Principal level passes in Mathematics and Physics and at least a subsidiary pass in Chemistry at A-level or a Credit pass at O-level.,4.0,70,4,
309,"University of Dar es Salaam (UDSM), Dar es Salaam",45.,Bachelor of Science in Industrial Engineering,UD056,Two principal passes in Advanced Mathematics and Physics. Those without subsidiary in Chemistry must have a Credit at O-Level.,4.0,50,4,
309,"University of Dar es Salaam (UDSM), Dar es Salaam",46.,Bachelor of Science in Metallurgy and Mineral Processing Engineering,UD057,Two principal passes in Advanced Mathematics and Physics. An applicant without at least a subsidiary pass in Chemistry MUST HAVE a minimum of “C” grade at O-Level. Special Requirements: Physical fitness.,4 .0,29,4,
310,"University of Dar es Salaam (UDSM), Dar es Salaam",47.,Bachelor of Science in Civil Engineering,UD058,Two principal passes in Advanced Mathematics and Physics. Those without at least a Subsidiary in Chemistry must have a Credit pass in Chemistry at O-Level.,4 .0,213,4,
310,"University of Dar es Salaam (UDSM), Dar es Salaam",48.,Bachelor of Science in Petroleum Geology,UD059,"Three principal passes in the following subjects: Advanced Mathematics, Physics and Chemistry. Special Requirements: Physical fitness.",4 .0,15,4,
310,"University of Dar es Salaam (UDSM), Dar es Salaam",49.,Bachelor of Science in Petroleum Engineering,UD060,Two principal passes in Advanced Mathematics and Physics and at least a subsidiary pass in Chemistry. Special Requirements: Physical fitness.,4 .5,24,4,
310,"University of Dar es Salaam (UDSM), Dar es Salaam",50.,Bachelor of Science in Petroleum Chemistry,UD061,"Two Principal passes one in Chemistry and another in any of the following subjects: Biology, Physics, Advanced Mathematics, Nutrition, Agriculture or Geography. In addition: The applicant should have a C grade or above in chemistry and physics at O-level.",4 .0,50,3,
311,"University of Dar es Salaam (UDSM), Dar es Salaam",51.,Bachelor of Science in Meteorology,UD062,Two principal passes in Advanced Mathematics and Physics.,4 .0,50,3,
311,"University of Dar es Salaam (UDSM), Dar es Salaam",52.,Bachelor of Architecture,UD063,"Two principal passes in the following subjects: Physics, Chemistry, Biology, Mathematics, Geography or Fine Arts.",4 .0,30,5,
311,"University of Dar es Salaam (UDSM), Dar es Salaam",53.,Bachelor of Library and Information Studies,UD064,"Two principal passes in the following subjects: History, Geography, Kiswahili, English Language, French, Arabic, Fine Arts, Economics, Commerce, Accountancy, Physics, Chemistry, Biology, Advanced Mathematics, Agriculture, Computer Science or Nutrition.",4.0,63,3,
312,"University of Dar es Salaam (UDSM), Dar es Salaam",54.,Bachelor of Social Work,UD066,"Two Principal passes in Arts subjects plus a credit pass in General Studies at A-level, and credit passes in Biology and Civics at O-level",5 from 3 subjects,100,3,
312,"University of Dar es Salaam (UDSM), Dar es Salaam",55.,Bachelor of Arts in Psychology,UD067,Two Principal passes in Arts or Science subjects plus a credit in Biology at O-level,5 from 3 subjects,100,3,
312,"University of Dar es Salaam (UDSM), Dar es Salaam",56.,Bachelor of Arts in Anthropology,UD068,Two Principal passes in Arts or Science subjects,5 from 3 subjects,138,3,
313,"University of Dar es Salaam (UDSM), Dar es Salaam",57.,Bachelor of Arts in Philosophy and Ethics,UD069,"Two principal passes in the following subjects: History, Geography, Kiswahili, English Language, French, Arabic, Fine Arts, Economics, Commerce, Accountancy, Physics, Chemistry, Biology, Advanced Mathematics, Agriculture, Computer Science or Nutrition.",5 from 3 subjects,150,3,
313,"University of Dar es Salaam (UDSM), Dar es Salaam",58.,Bachelor of Arts in Development Studies,UD070,"Two principal passes in the following subjects: Business Studies, History, Geography, Kiswahili, English Language, French, Arabic, Tourism, Fine Arts, Economics, Commerce, Accountancy, Physics, Chemistry, Biology, Advanced Mathematics, Agriculture, Computer Science or Nutrition.",5 from 3 subjects,154,3,
313,"University of Dar es Salaam (UDSM), Dar es Salaam",59.,Bachelor of Arts in Art and Design,UD071,Two principal passes in any Arts or Business or Science subjects.,5 from 3 subjects,100,3,
314,"University of Dar es Salaam (UDSM), Dar es Salaam",60.,Bachelor of Arts in Film and Television,UD072,"Two principal passes in the following subjects: History, Geography, Kiswahili, English Language, French, Arabic, Fine Arts, Literature, Theatre Arts, Music, Chinese, Economics, Commerce, Accountancy, Physics, Chemistry, Biology, Advanced Mathematics, Agriculture, Computer Science or Nutrition.",5 from 3 subjects,70,3,
314,"University of Dar es Salaam (UDSM), Dar es Salaam",61.,Bachelor of Arts in Music,UD073,"Two principal passes in the following subjects: History, Geography, Kiswahili, English Language, French, Arabic, Fine Arts, Economics, Commerce, Accountancy, Physics, Chemistry, Biology, Advanced Mathematics or Agriculture.",5 from 3 subjects,70,3,
314,"University of Dar es Salaam (UDSM), Dar es Salaam",62.,Bachelor of Science in Food Science and Technology,UD074,"Two Principal passes from Chemistry and any of the following subjects: Mathematics, Biology, Nutrition, Physics, and Geography. A credit in Mathematics at “O level” and a subsidiary pass at “A level” is compulsory.",4 .0,46,4,
315,"University of Dar es Salaam (UDSM), Dar es Salaam",63.,Bachelor of Science in Bee Science and Technology,UD075,"Two Principal passes in Biology and in one of the following subjects: Chemistry, Nutrition, Agriculture, Physics and Geography.",4 .0,70,3,
315,"University of Dar es Salaam (UDSM), Dar es Salaam",64.,Bachelor of Science in Agricultural Engineering and Mechanisation,UD076,"Two principal passes in Advanced Mathematics and one of the following subjects: Physics, Chemistry or Geography.. In addition, the applicant must have obtained at least a PASS (“D” grade) in Physics AND Chemistry or Biology or Science and Practice in Agriculture at O-Level.",4 .0,57,4,
315,"University of Dar es Salaam (UDSM), Dar es Salaam",65.,Bachelor of Science in Quantity Surveying,UD077,Two principal passes in Advanced Mathematics and Physics.,4 .0,50,4,
315,"University of Dar es Salaam (UDSM), Dar es Salaam",66.,Bachelor of Science in Agricultural and Natural Resources Economics and Business,UD078,"Two principal passes in Economics and either Commerce, Agriculture, Geography and Advanced Mathematics.",4.0,150,3,
316,"University of Dar es Salaam (UDSM), Dar es Salaam",67.,Bachelor of Science in Geomatics,UD079,"Two principal passes in Advanced Mathematics and in one of the following subjects: Physics, Geography, Chemistry or Computer Science. If the second principal pass is not Physics, an applicant MUST HAVE at least a subsidiary pass in Physics.",4 .0,29,4,
316,"University of Dar es Salaam (UDSM), Dar es Salaam",68.,Doctor of Medicine,UD080,"Three principal passes in Physics, Chemistry, and Biology with minimum of 6 points: A minimum of D grade in Chemistry, Biology and Physics.",6 .0,122,5,
316,"University of Dar es Salaam (UDSM), Dar es Salaam",69.,Bachelor of Arts in Theatre Arts,UD081,"Two principal passes in the following subjects: History, Geography, Kiswahili, English Language, French, Arabic, Fine Arts, Economics, Commerce, Accountancy, Physics, Chemistry, Biology, Advanced Mathematics, Agriculture, Computer Science or Nutrition.",5 from 3 subjects,70,3,
317,"University of Dar es Salaam (UDSM), Dar es Salaam",70.,Bachelor of Business Administration (Evening),UD082,"Two principal passes in the following subjects: History, Geography, Kiswahili, English Language, French, Arabic, Fine Arts, Economics, Commerce, Accountancy, Physics, Chemistry, Biology, Advanced Mathematics, Agriculture, Computer Science or Nutrition. Those without a principal or subsidiary pass in Advanced Mathematics MUST HAVE a minimum of “C” grade in Mathematics at O-Level.",4 .0,172,3,
317,"University of Dar es Salaam (UDSM), Dar es Salaam",71.,Bachelor of Science in Crop Science and Technology,UD083,"Two principal passes in Biology or Agriculture and in one of the following subjects: Chemistry, Geography, Physics or Nutrition.",4 .0,70,3,
318,"University of Dar es Salaam (UDSM), Dar es Salaam",72.,Bachelor of Arts in Archaeology and Geography,UD084,Two principal passes in History and Geography.,5 from 3 subjects,50,3,
318,"University of Dar es Salaam (UDSM), Dar es Salaam",73.,Bachelor of Arts with Education (Chinese and English),UD085,"Two principal passes in language subjects in the following: Chinese, Kiswahili, English, French, Arabic at A-level. If one of the principal passes is not Chinese, an applicant must have an “A” grade in Chinese at O-Level.",5 from 3 subjects,100,3,
318,"University of Dar es Salaam (UDSM), Dar es Salaam",74.,Bachelor of Science in Electronics Engineering,UD086,Two principal passes in Advanced Mathematics and Physics. An applicant without at least a subsidiary pass in Chemistry MUST HAVE a minimum of “C” grade at O-Level.,4 .0,57,4,
318,"University of Dar es Salaam (UDSM), Dar es Salaam",75.,Bachelor of Science in Marine Sciences,UD087,"Two principal passes in Biology and in one the following subjects: Chemistry, Agriculture, Physics, Geography and Advanced Mathematics.",4 .0,45,3,
318,"University of Dar es Salaam (UDSM), Dar es Salaam",76.,Bachelor of Arts in Diplomatic and Defence Studies,UD088,"Two principal passes one of which must be in History with a minimum of “C” grade and in one the following subjects: English, Kiswahili, Economics, Geography, Fine Arts, French or Arabic",5 from 3 subjects,75,3,
319,"University of Dar es Salaam (UDSM), Dar es Salaam",77.,Bachelor of Science in Mathematics and Statistics,UD089,"Two principal passes in Advanced Mathematics and one of the following subjects: Economics, Geography, Commerce, Accountancy, Physics, Chemistry, Biology or Computer Science.",4 .0,60,3,
319,"University of Dar es Salaam (UDSM), Dar es Salaam",78.,Bachelor of Science in Business Information Technology,UD090,"Two principal passes in the following subjects: Advanced Mathematics and Physics or Chemistry, or Computer Science or Business Studies or Economics or any other Business-related subject. Those without at least a Subsidiary Pass in Advanced Mathematics must have a Credit at O- Level",4 .0,90,3,
319,"University of Dar es Salaam (UDSM), Dar es Salaam",79.,Bachelor of Science in Geophysics,UD091,Two principal passes in Advanced Mathematics and Physics. Special Requirements: Physical fitness.,5.0,12,4,
319,"University of Dar es Salaam (UDSM), Dar es Salaam",80.,Bachelor of Science in Geology with Geothermal Resources Exploration,UD092,"Three principal passes in Physics, Chemistry and Advanced Mathematics. Special Requirements: Physical fitness",4.0,12,4,
320,"University of Dar es Salaam (UDSM), Dar es Salaam",81.,Bachelor of Arts in Communication Studies,UD093,"Two principal passes in the following subjects: History, Geography, Kiswahili, English Language, French, Arabic, Fine Arts, Economics, Commerce, Accountancy, Physics, Chemistry, Biology, Advanced Mathematics, Agriculture, Computer Science or Nutrition. In addition, one must have a minimum of “C” grade in English at O-Level.",5 from 3 subjects,95,3,
320,"University of Dar es Salaam (UDSM), Dar es Salaam",82.,"Bachelor of Arts in History, Cultural Heritage Management and Tourism",UD094,"Two principal passes one of which must be in History with a minimum of “D” grade and in one the following subjects: English Language, Kiswahili, Economics, Geography, Fine Arts, French or Arabic.",5 from 3 subjects,70,3,
320,"University of Dar es Salaam (UDSM), Dar es Salaam",83.,Bachelor of Science in Chemistry and Physics,UD095,"Two principal passes in Chemistry and Physics. Additionally, candidate should have a “C” grade or above in chemistry and physics at O-level.",4.0,50,4,
321,"University of Dar es Salaam (UDSM), Dar es Salaam",84.,Bachelor of Science in Applied Microbiology and Chemistry,UD096,"Two principal passes in Chemistry and Biology. In addition, an applicant MUST have Credit passes in chemistry and Biology at O-level.",4.0,60,3,
321,"University of Dar es Salaam (UDSM), Dar es Salaam",85.,Bachelor of Commerce in Procurement and Supply Chain Management,UD097,"Two principal passes in the following subjects: History, Geography, Kiswahili, English Language, French, Arabic, Fine Arts, Economics, Commerce, Accountancy, Physics, Chemistry, Biology, Advanced Mathematics, Agriculture, Computer Science or Nutrition. If one of the principals do not include Advanced Mathematics or Economics or Commerce, an applicant MUST HAVE a minimum of “C” grade in Basic Mathematics at O-Level.",4.0,40,3,
322,"University of Dar es Salaam (UDSM), Dar es Salaam",86.,Doctor of Dental Surgery,UD098,"Three principal passes in Physics, Chemistry and Biology with a minimum of 6 points: a minimum of D grade in Chemistry, Biology and Physics.",6.0,10,5,
322,"University of Dar es Salaam (UDSM), Dar es Salaam",87.,Bachelor of Arts in Gender Studies and Community Development,UD099,"Two principal passes in the following subjects: History, Geography, Kiswahili, English Language, French, Arabic, Fine Arts, Economics, Commerce, Accountancy or Advanced Mathematics. In addition, one must have a minimum of five passes three of which must be Credits at O-level.",5 from 3 subjects,40,3,
322,"University of Dar es Salaam (UDSM), Dar es Salaam",88.,Bachelor of Science in Physics (Medical Physics),UD100,"Two principal passes in Advanced Mathematics, Biology, Geography, and Computer Studies, and must have a minimum grade of D in Physics.",4.0,15,3,
327,"University of Dodoma (UDOM), Dodoma",1.,Doctor of Medicine,DM001,"Three principal passes in Physics, Chemistry, and Biology with a minimum of 6 points. A minimum of “D” grade in Chemistry, Biology and Physics. In addition: Direct applicants MUST possess five credit passes in the following subjects at Ordinary level Secondary Education (O-level): Mathematics, Chemistry, Biology, Physics and English.",6.0,170,5,
327,"University of Dodoma (UDOM), Dodoma",2.,Bachelor of Science in Nursing,DM002,"Three principal passes in Chemistry, Biology, and Physics with a minimum of 6 points. A minimum of “C” grade in Chemistry and “D” grade in Biology and at least E grade in Physics.",6.0,200,4,
327,"University of Dodoma (UDOM), Dodoma",3.,Bachelor of Science in Computer Science,DM003,"Two principal passes in Advanced Mathematics or Computer Science and one of the following subjects: Physics, Geography, Economics or Chemistry.",4.0,70,3,
