page,institution,sn,programme,code,admission_requirements,minimum_points,capacity,duration_years,problems
26,"Abdulrahman Al- Sumait University (SUMAIT), Zanzibar",1.,Bachelor of Arts with Education,SUM01,"Two principal passes in the following subjects: History, English, Geography, Kiswahili, Elimu ya Dini ya Kiislam or Arabic.",4.0,400,3,
26,"Abdulrahman Al- Sumait University (SUMAIT), Zanzibar",2.,Bachelor of Science with Education,SUM02,"Two principal passes in the following subjects: Physics, Advanced Mathematics, Chemistry,Biology, Computer Science or Geography.",4.0,250,3,
26,"Abdulrahman Al- Sumait University (SUMAIT), Zanzibar",3.,Bachelor of Arts in Counselling Psychology,SUM03,"Two principal passes in the following subjects: History, Geography, Kiswahili, English Language, Literature in English, French, Arabic, Fine Arts, Economics, Commerce, Accountancy, Physics, Chemistry, Biology, Advanced Mathematics, Agriculture, Computer Science or Nutrition.",4.0,70,3,
26,"Abdulrahman Al- Sumait University (SUMAIT), Zanzibar",4.,Bachelor of Science in Information Technology,SUM04,"Two principal passes in Physics, Advanced Mathematics, Geography, Biology, Chemistry, Economics or Accounting.",4.0,100,3,
27,"Aga Khan University (AKU), Dar es Salaam",1.,Bachelor of Science in Nursing,AKU01,"Three principal passes in Chemistry, Biology and Physics with a minimum of 6 points: A minimum of C grade in Chemistry and Biology and at least D grade in Physics at A-Level. An applicant with a pass in English or Mathematics at O-Level will have an added advantage.",6.0,30,4,
28,"Archbishop Mihayo University College of Tabora (AMUCTA), Tabora",1.,Bachelor of Arts with Education,AM001,"Two principal passes in the following subjects:History, Geography, Kiswahili, English Language, or Education.",4.0,400,3,
28,"Archbishop Mihayo University College of Tabora (AMUCTA), Tabora",2.,Bachelor of Business Administration,AM003,"Two principal passes in the following subjects: History, Geography, Kiswahili, English Language, Literature in English, French, Arabic, Fine Arts, Economics, Commerce, Accountancy, Physics, Chemistry, Biology, Advanced Mathematics, Agriculture, Computer Science or Nutrition.",4.0,110,3,
28,"Archbishop Mihayo University College of Tabora (AMUCTA), Tabora",3.,Bachelor of Education in Special Needs,AM006,"Two principal passes in the following subjects: History, Geography, Kiswahili, English Language, Education, or Commerce.",4.0,300,3,
28,"Archbishop Mihayo University College of Tabora (AMUCTA), Tabora",4.,"Bachelor of Arts in Geography, Environment and Natural Resources Management",AM007,"Two principal passess from any two subjects, one must be Geography.",4.0,150,3,
29,"Ardhi University (ARU), Dar es Salaam",1.,Bachelor of Architecture,AR001,"Two principal passes in any of the following subjects: Advanced Mathematics, Physics, Chemistry, Biology, Geography, Computer Science or Fine Arts. In addition, an applicant must have at least a subsidiary level pass in Advanced Mathematics or Basic Applied Mathematics at A- level or a minimum of “C” grade in Basic Mathematics at O- Level.",4.0,70,5,
29,"Ardhi University (ARU), Dar es Salaam",2.,Bachelor of Science in Interior Design,AR002,"Two principal passes in any of the following subjects: Physics, Chemistry, Biology, Advanced Mathematics, Geography, Computer Science or Fine Arts. In addition, an applicant must have at least a subsidiary level pass in Advanced Mathematics or Basic Applied Mathematics at A- level or a minimum of “C” grade in Basic Mathematics at O- Level.",4.0,55,4,
29,"Ardhi University (ARU), Dar es Salaam",3.,Bachelor of Science in Landscape Architecture,AR003,"Two principal passes in any of the following subjects: Physics, Chemistry, Biology, Advanced Mathematics, Geography, Computer Science or Fine Arts. In addition, an applicant must have at least a subsidiary level pass in Advanced Mathematics or Basic Applied Mathematics at A- level or a minimum of “C” grade in Basic Mathematics at O-Level.",4.0,55,4,
30,"Ardhi University (ARU), Dar es Salaam",4.,Bachelor of Science in Geomatics,AR005,"Two principal passes in Advanced Mathematics and either Physics, Geography, Chemistry, or Computer Science. In case the second principal level pass is not Physics, an applicant must have at least a subsidiary level pass in Physics at A-level or a credit pass in Physics at the O-Level.",4.0,70,4,
30,"Ardhi University (ARU), Dar es Salaam",5.,Bachelor of Science in Environmental Engineering,AR009,"Two Principal level passes in any of the following subjects: Physics, Advanced Mathematics, Chemistry or Biology. One of the two principal level passes must be in Physics or Mathematics. In addition, an applicant must have at least a subsidiary level pass in Advanced Mathematics or Basic Applied Mathematics at A-level.",4.0,80,4,
30,"Ardhi University (ARU), Dar es Salaam",6.,Bachelor of Science in Environmental Science and Management,AR011,"Two Principal level passes in any of the following subjects: Physics, Advanced Mathematics, Chemistry, Biology, Computer Science or Geography. One of the two principal level passes must be in Physics or Chemistry or Biology. In addition, an applicant must have at least a subsidiary level pass in Advanced Mathematics or Basic Applied Mathematics at A-level or a minimum of “C” grade in Basic Mathematics at O-Level.",4.0,94,4,
31,"Ardhi University (ARU), Dar es Salaam",7.,Bachelor of Science in Housing and Infrastructure Planning,AR012,"Two principal level passes in any of the following subjects: Physics, Chemistry, Biology, Advanced Mathematics, Geography, Computer Science or Economics. In addition, an applicant must have at least a D grade in Advanced Mathematics or a subsidiary grade in Basic Applied Mathematics or a minimum of “B” grade in Basic Mathematics at O-Level.",4.0,65,4,
32,"Ardhi University (ARU), Dar es Salaam",8.,Bachelor of Science in Land Management and Valuation,AR013,"Two Principal level passes in any of the following subjects: Geography, Economics, Advanced Mathematics, History, Commerce, Accountancy, Physics, Biology, Chemistry and Computer Studies. In addition, an applicant must have at least a ‘C’ grade in Mathematics and “D” grade in English Language at O-Level.",4.0,200,4,
32,"Ardhi University (ARU), Dar es Salaam",9.,Bachelor of Science in Municipal and Industrial Services Engineerig,AR014,"Two Principal level passes in any of the following subjects: Physics, Advanced Mathematics, Chemistry, Computer Science or Biology. One of the two principal level passes must be in Physics or Mathematics. In addition, an applicant must have at least a subsidiary level pass in Advanced Mathematics or Basic Applied Mathematics at A- level.",4.0,40,4,
33,"Ardhi University (ARU), Dar es Salaam",10.,Bachelor of Science in Property and Facility Management,AR015,"Two Principal level passes in any of the following subjects: Geography, Economics, Advanced Mathematics, History, Commerce, Accountancy, Physics, Computer or Chemistry. In addition, an applicant must have at least a ‘C’ grade in Mathematics and “D” grade in English Language at O-Level.",4.0,60,4,
33,"Ardhi University (ARU), Dar es Salaam",11.,Bachelor of Science in Regional Development Planning,AR016,"Two principal level passes in any of the following subjects: Physics, Chemistry, Biology, Agriculture, Advanced Mathematics, Geography, Economics, Commerce, Computer Science or Accountancy. In addition, an applicant must have at least a subsidiary level pass in Basic Applied Mathematics or D grade in Advanced Mathematics at A-level or a minimum of “C” grade in Basic Mathematics at O-Level.",4.0,65,4,
33,"Ardhi University (ARU), Dar es Salaam",12.,"Bachelor of Science in Real Estate, Finance and Investment",AR017,"Two Principal level passes in any of the following subjects: Commerce, Accountancy, Economics, Computer, History, Geography, Advanced Mathematics, Physics, Biology or Chemistry. In addition, an applicant must have at least a subsidiary level pass in Advanced Mathematics or Basic Applied Mathematics at A-level or a minimum of “D” grade in Basic Mathematics and a minimum of ‘D’ grade in English Language at O- Level or a pass in English/English Literature at A-level.",4.0,65,4,
34,"Ardhi University (ARU), Dar es Salaam",13.,Bachelor of Science in Urban and Regional Planning,AR018,"Two principal level passes in any of the following subjects: Physics, Chemistry, Biology, Advanced Mathematics, Geography, Economics, Computer Science Commerce or Accountancy. In addition, an applicant must have at least a subsidiary level pass in Basic Applied Mathematics at A-level or a minimum of D grade in Advanced Mathematics at A-level or a minimum of “C” grade in Basic Mathematics at O-Level.",4.0,80,4,
34,"Ardhi University (ARU), Dar es Salaam",14.,Bachelor of Arts in Economics,AR019,"Two principal passes the following subjects: Business Studies, Economics. One of the two principal level passes must be Geography, History, Commerce, Accountancy, Physics, Chemistry or Advanced Mathematics. In addition, an applicant must have at least a subsidiary level pass in Advanced Mathematics or Basic Applied Mathematics at A- level or a minimum of “D” grade in Basic Mathematics at O- Level.",4.0,340,3,
35,"Ardhi University (ARU), Dar es Salaam",15.,Bachelor of Science in Information Systems Management,AR020,Two principal passes in Mathematics and either Physics or Geography or Chemistry or Computer Science or Economics or Business Studies or Accountancy in A-level.,4.0,120,3,
35,"Ardhi University (ARU), Dar es Salaam",16.,Bachelor of Science in Civil Engineering,AR021,Two Principal level passes in the following subjects: Advanced Mathematics and Physics. Those without at least a Subsidiary pass in Chemistry at A-Level must have a minimum of “C”grade in Chemistry at O-level.,4.0,110,4,
36,"Ardhi University (ARU), Dar es Salaam",17.,Bachelor of Science in Accounting and Finance,AR022,"Two Principal passes in any of the following subjects: History, Geography, Economics, Commerce, Advanced Mathematics, Accountancy, Physics, Chemistry, Biology, Agriculture, Computer Science, Business Studies, Fine Arts, Music, Theatre Arts, Textile Garment Construction, Sport or Nutrition. In addition, an applicant must have at least a subsidiary level pass in Advanced Mathematics or Basic Applied Mathematics at A-level or a minimum of “D” grade in Basic Mathematics and a minimum of ‘D’ grade in English Language at O- Level or a pass in English/English Literature at A-level.",4.0,320,3,
36,"Ardhi University (ARU), Dar es Salaam",18.,Bachelor of Arts in Community Development Studies,AR023,"Two principal level passes in any of the following subjects: History, Kiswahili, English Language, Geography, Economics, Commerce, Accountancy, Physics, Chemistry, Biology, Advanced Mathematics, Agriculture, Computer Science or Nutrition, Divinity and Islamic Knowledge",4.0,320,3,
36,"Ardhi University (ARU), Dar es Salaam",19.,Bachelor of Science in Geographical Information Systems and Remote Sensing,AR024,"Two principal level passes in any of the following subjects: Advanced Mathematics, Physics, Chemistry, Geography, Computer Science, Biology, and Agriculture. In addition, a candidate MUST have at least a subsidiary level pass in Mathematics at A-level or at least a “C” grade at O-level.",4.0,100,3,
37,"Ardhi University (ARU), Dar es Salaam",20.,Bachelor of Science in Quantity Surveying and Construction Economics,AR025,"Two principal level passes in any of the following subjects: Advanced Mathematics, Physics, Chemistry, Biology, Computer Science, Economics or Accountancy. In addition, an applicant must have at least a subsidiary pass in Advanced Mathematics or Basic Applied Mathematics at A- level, and at least “C” grade in Physics or mathematics in at O-Level",4.0,170,4,
37,"Ardhi University (ARU), Dar es Salaam",21.,Bachelor of Science in Environmental Laboratory Science and Technology,AR026,"Two principal level passes in any of the following subjects: Physics, Advanced Mathematics, Chemistry, Biology or Geography. One of the two principal level passes must be in Physics or Chemistry or Biology. In addition, an applicant must have at least a Subsidiary level pass in Advanced Mathematics or Basic Applied Mathematics at A-level or a minimum of “C” grade in Basic Mathematics at O-Level.",4.0,44,4,
38,"Ardhi University (ARU), Dar es Salaam",22.,Bachelor of Science in Computer Systems and Networks,AR027,Two principal passes in Mathematics and either Physics or Geography or Chemistry or Computer Science or Economics or Business Studies or Accountancy at A-level.,4.0,80,3,
38,"Ardhi University (ARU), Dar es Salaam",23.,Bachelor of Science in Construction Management,AR028,"Two Principal pass in at least two of the following subjects; Mathematics, Physics, Chemistry, Biology, Computer Science, Economics and Accountancy. An applicant must have at least a Subsidiary level pass in Mathematics at A-level and at least “C” Pass in Physics or Mathematics at O’ level.",4.0,45,4,
38,"Ardhi University (ARU), Dar es Salaam",24.,Bachelor of Science in Building Surveying and Construction Maintenance,AR029,"Two Principal in at least two of the following subjects; Mathematics, Physics, Computer Science, Chemistry, Economics, Geography and Accounts at grade D or above. In addition, an applicant must have at least a Subsidiary level pass in Mathematics at A’ level and at least a Pass in Physics at O’ level.",4.0,45,4,
39,"Ardhi University (ARU), Dar es Salaam",25.,Bachelor of Science in Data Science and Artificial Intelligence,AR030,"Two principal passes in Mathematics and either Physics, Geography, Chemistry, Computer Science, Economics, Business Studies, Accountancy at A-level.",4.0,70,3,
39,"Ardhi University (ARU), Dar es Salaam",26.,Bachelor of Science in Hydrology and Water Resources Engineering,AR031,"Two principal passes in the following subjects; Physics, Mathematics, Computer Science, Agriculture, Chemistry and Geography. In addition, an applicant must have at least a Subsidiary level pass in Physics and Mathematics at A- level.",4.0,30,4,
39,"Ardhi University (ARU), Dar es Salaam",27.,Bachelor of Science in Hydrographic and Oceanographic Sciences,AR032,"Two principal passes in the following subjects: Physics, Geography, Chemistry, Computer Science. If one of the principal pass is not in Physics, the candidate must have at least a credit pass (or equivalent) in Physics at the O-Level.",4.0,30,3,
40,"Ardhi University (ARU), Dar es Salaam",28.,Bachelor of Science in Integrated Water and Environmental Resource Engineering,AR033,"Two principal passes in the following subjects; Physics, Mathematics, Computer Science, Chemistry and Geography. In addition, an applicant must have at least a subsidiary pass in Physics and Mathematics at A’level.",4.0,40,4,
40,"Ardhi University (ARU), Dar es Salaam",29.,Bachelor of Business Administration,AR034,"Two principal passes in the following subjects: History, Geography, Economics, Commerce, Accountancy, Physics, Chemistry, Biology, Agriculture, Computer Science, Business Studies, Fine Arts, Music, Theatre Arts, Textile Garment Construction, Sports or Nutrition. In addition an applicant must have a pass in English at Grade “D” or above in O’level or a pass in English/English Literature at A’level.",4.0,120,3,
40,"Ardhi University (ARU), Dar es Salaam",30.,Bachelor of Science in Geospatial Information and Communication Technology,AR035,"Two principal level passes in any of the following subjects: Mathematics, Physics, Chemistry, Geography, Computer Science. In addition, a candidate MUST have at least a subsidiary level pass in Mathematics at A’level. or at least a “C” grade at O’level.",4.0,30,4,
41,"Arusha Technical College (ATC), Arusha",1.,Bachelor Degree in Computer Science,AT003,"Two principal passes in the following subjects: Physics, Mathematics, Geography, Biology, Economics or Chemistry.",4.0,50,3,
41,"Arusha Technical College (ATC), Arusha",2.,Bachelor Degree in Information Technology,AT004,"Two principal passes in the following subjects: Physics, Mathematics, Geography, Biology, Chemistry or Economics.",4.0,80,3,
41,"Arusha Technical College (ATC), Arusha",3.,Bachelor Degree in Mechanical Engineering,AT008,"Two principal passes in Physics, Mathematics, Geography, Biology, Chemistry or Economics.",4.0,60,3,
41,"Arusha Technical College (ATC), Arusha",4.,Bachelor Degree in Mechatronic and Material Engineering,AT009,"Two principal passes in Physics, Mathematics, Geography, Biology, Chemistry or Economics.",4.0,60,3,
41,"Arusha Technical College (ATC), Arusha",5.,Bachelor Degree in Laboratory Science and Industrial Technology,AT010,"Two principal passes in any of the following subjects: a pass in Basic Applied Mathematics, Physics, Chemistry and Biology",4,30,3,
42,"Catholic University of Health and Allied Sciences (CUHAS), Mwanza",1.,Bachelor of Medical Laboratory Sciences,CU001,"Three principal passes in Physics, Chemistry and Biology with a minimum of 6 points: A minimum of “C” grade in Chemistry and “D” grade in Biology and at least “E ” grade in Physics.",6.0,40,3,
42,"Catholic University of Health and Allied Sciences (CUHAS), Mwanza",2.,Bachelor of Pharmacy,CU003,"Three principal passes in Physics, Chemistry and Biology with a minimum of 6 points: A minimum of “D” grade in Chemistry, Biology and Physics.",6.0,50,4,
42,"Catholic University of Health and Allied Sciences (CUHAS), Mwanza",3.,Doctor of Medicine,CU004,"Three principal passes in Physics, Chemistry and Biology with a minimum of 6 points: A minimum of “D” grade in Chemistry, Biology and Physics.",6.0,200,5,
42,"Catholic University of Health and Allied Sciences (CUHAS), Mwanza",4.,Bachelor of Science in Nursing,CU005,"Three principal passes in Chemistry, Biology and either Physics or Advanced Mathematics or Nutrition with a minimum of 6 points: A minimum of C grade in Chemistry and “D” grade in Biology and at least “E” grade in Physics or Advanced Mathematics or Nutrition.",6.0,50,4,
43,"Catholic University of Health and Allied Sciences (CUHAS), Mwanza",5.,Bachelor of Science in Medical Imaging and Radiotherapy,CU006,"Three principal passes in Physics, Chemistry and Biology with a minimum of 6 points: A minimum of “D” grade in Chemistry, Biology and Physics.",6.0,15,4,
44,"Catholic University of Mbeya (CUoM), Mbeya",1.,Bachelor of Arts with Education,CM001,"Two principal passes in the following subjects: Kiswahili, English, History, Geography, Advanced Mathematics or Economics, Fasihi ya Kiswahili, Literature in English Language, Business Studies and Computer Science.",4.0,300,3,
44,"Catholic University of Mbeya (CUoM), Mbeya",2.,Bachelor of Business Administration,CM002,"Two principal passes in Business, Social Science, Arts, or Science Subjects.",4.0,360,3,
44,"Catholic University of Mbeya (CUoM), Mbeya",3.,Bachelor of laws,CM003,Two principal passes in any two subjects at A-level.,4.0,360,4,
44,"Catholic University of Mbeya (CUoM), Mbeya",4.,Bachelor of Accounting and Finance,CM004,"Two principal passes in two subjects including Advanced Mathematics. If one of the passes is not in Mathematics, an applicant must have a minimum of ""D"" grade in Basic Mathematics, or Commerce, or Bookkeeping, or Economics, Computer Science or ICT at O-Level.",4.0,120,3,
44,"Catholic University of Mbeya (CUoM), Mbeya",5.,Bachelor of Human Resource Management,CM005,"Two principal passes in Social Science, Business, Arts, or Science Subjects.",4.0,300,3,
44,"Catholic University of Mbeya (CUoM), Mbeya",6.,Bachelor of Arts in Project Planning and Management for Community Development,CM006,Two principal passes from any subjects.,4.0,150,3,
45,"Catholic University of Mbeya (CUoM), Mbeya",7.,Bachelor of Arts in Social Work,CM007,Two principal passes from any subjects.,4.0,200,3,
45,"Catholic University of Mbeya (CUoM), Mbeya",8.,Bachelor of Procurement and Supply Chain Management,CM008,"Two principal passes in Business, Arts, or Science Subjects.",4.0,200,3,
45,"Catholic University of Mbeya (CUoM), Mbeya",9.,Bachelor of Public Relations and Marketing,CM009,"Two principal passes in Business, Arts, or Science subjects",4.0,200,3,
46,"College of African Wildlife Management (CAWM), Mweka- Kilimanjaro",1.,Bachelor Degree in Wildlife Management,WM001,"Two principal passes in Biology, Chemistry, Physics, Geography, English Language, Agriculture, Computer Science, Nutrition, Food and Human Nutrition, Entrepreneurship Education or Advanced Mathematics.",4.0,,,
46,"College of African Wildlife Management (CAWM), Mweka- Kilimanjaro",2.,Bachelor Degree in Tourism Management,WM002,"Two principal passes in Biology, Geography, Chemistry, Physics, Agriculture, Nutrition, Food and Human Nutrition, Entrepreneurship Education, Advanced Mathematics, English Language, French Language, Chinese Language, History, Commerce,Economics, Physical Education, Arabic Language, Computer Science, Accounts, Information and Computer Studies.",4.0,,,
46,"College of African Wildlife Management (CAWM), Mweka- Kilimanjaro",3.,Bachelor Degree in Environmental and Waste Management,WM003,"Two principal passes in Biology, Chemistry, Physics, Geography, or Agriculture, Advanced Mathematics, Food and Human Nutrition or Computer Science.",4.0,,,
46,"College of African Wildlife Management (CAWM), Mweka- Kilimanjaro",4.,Bachelor Degree in Natural Resources Management,WM004,"Two principal passes in Biology, Chemistry, Physics, Geography, Agriculture, Computer Science, English Language, Food and Human Nutrition, or Advanced Mathematics.",4.0,,,
46,"College of African Wildlife Management (CAWM), Mweka- Kilimanjaro",5.,Bachelor of Wildlife Tourism,WM005,"Two Principal Passes in Biology, Chemistry, Physics, Geography, Agriculture, Nutrition, Mathematics, Environment, Tourism, Commerce, Economics, History, English Language, Tourism Geography, Marketing, Entrepreneurship or Tourism Marketing.",4.0,,,
47,"College of Business Education (CBE), Dar es Salaam",1.,Bachelor Degree in Accountancy,CBD01,"Two principal passes in the following subjects: Biology, Chemistry, Physics, Geography, Agriculture, Nutrition, Mathematics, Accountancy, Commerce, Economics and English Language, Kiswahili and History. If one of the principal’s passes is not in Advanced Mathematics an applicant must have at least a Pass in Mathematics at O’Level.",4.0,300,3,
47,"College of Business Education (CBE), Dar es Salaam",2.,Bachelor Degree in Business Administration,CBD02,"Two principal passes in the following subjects: Accountancy, Economics, Commerce, Mathematics, Geography, Physics, English Language, History, Kiswahili, Agriculture, Nutrition, Chemistry, Biology, Computer Science, or Fine Arts.",4.0,400,3,
47,"College of Business Education (CBE), Dar es Salaam",3.,Bachelor Degree in Marketing,CBD03,"Two principal passes in the following subjects: History, Geography, Kiswahili, English Language, Literature, French, Arabic, Fine Arts, Economics, Commerce, Accountancy, Physics, Chemistry, Biology, Advanced Mathematics, Agriculture, Computer Science or Nutrition.",4.0,150,3,
47,"College of Business Education (CBE), Dar es Salaam",4.,Bachelor Degree in Procurement and Supply Chain Management,CBD04,"Two principal passes in the following subjects: Advanced Mathematics, Accountancy, Economics, Commerce, Fine Arts, Geography, Physics, English, Kiswahili, History, Chemistry, Biology, Agriculture, Computer Science or Nutrition.",4.0,300,3,
48,"College of Business Education (CBE), Dar es Salaam",5.,Bachelor Degree in Metrology and Standardization,CBD05,"Two principal passes in the following subjects: Physics, Chemistry, Biology, Advanced Mathematics, Agriculture, Geography, Computer Science or Nutrition,one of which MUST BE either Physics or Advanced Mathematics.",4.0,100,3,
48,"College of Business Education (CBE), Dar es Salaam",6.,Bachelor Degree in Information Technology,CBD06,"Two principal passes in the following subjects: Advanced Mathematics, Physics, Chemistry, Biology, Geography, Computer Science, Commerce, Accountancy, Agriculture and Economics. If one of the principal passes is not in Advanced Mathematics, an applicant must have at least a Pass in Basic Mathematics at O–Level.",4.0,50,3,
48,"College of Business Education (CBE), Dar es Salaam",7.,Bachelor Degree in Business Studies with Education,CBD07,"Two principal passes in the following subjects: Accountancy Economics, Commerce, Advanced Mathematics, Geography, Physics, Chemistry, Biology, History or English.",4.0,100,3,
48,"College of Business Education (CBE), Dar es Salaam",8.,Bachelor Degree of Business Administration in Human Resources Management,CBD08,"Two Principal passes in the following subjects; Accountancy, Economics, Commerce, Advanced Mathematics, Geography, Physics, English, Kiswahili, History, Chemistry or Biology.",4.0,200,3,
49,"College of Business Education (CBE), Dar es Salaam",9.,Bachelor of Business Administration in Records and Archives Management,CBD09,"Two Principal passes in Advanced Mathematics, Physics, Chemistry, Geography, Biology, Economics, Accountancy, Commerce, Agriculture, English, History, Kiswahili, French, Computer Science, Nutrition or Fine Arts.",4.0,200,3,
49,"College of Business Education (CBE), Dar es Salaam",10.,Bachelor Degree in Accounting and Finance,CBD10,"Two principal passes in the following subjects: Biology, Chemistry, Physics, Geography, Agriculture, Nutrition, Advanced Mathematics, Accountancy, Commerce or Economics, English Language, Kiswahili. If one of the principal passes is not in Advanced Mathematics, an applicant must have at least a Pass in Basic Mathematics at O’ Level.",4.0,250,3,
49,"College of Business Education (CBE), Dar es Salaam",11.,Bachelor Degree in Accountancy and Taxation,CBD11,"Two principal passes in the following subjects: Biology, Chemistry, Physics, Geography, Agriculture, Nutrition, Advanced Mathematics, Accountancy, Commerce, English Language, Kiswahili, or Economics. If one of the principal passes is not in Advanced Mathematics, an applicant must have at least a Pass in Basic Mathematics at O’ Level",4.0,200,3,
49,"College of Business Education (CBE), Dar es Salaam",12.,Bachelor Degree in Banking and Finance Management,CBD12,"Two principal passes in the following subjects: Biology, Chemistry, Physics, Geography, Agriculture, Nutrition, Advanced Mathematics, Accountancy, Commerce, English Language, Kiswahili or Economics. If one of the principal passes is not in Advanced Mathematics, an applicant must have at least a Pass in Basic Mathematics at O’Level",4.0,200,3,
50,"College of Business Education (CBE), Dar es Salaam",13.,Bachelor of Marketing in Tourism and Event Management,CBD13,"Two principal passes in the following subjects: History, Geography, Kiswahili, English, Literature, French, Arabic, Fine Arts, Economics, Commerce, Accountancy, Physics, Chemistry, Biology, Advanced Mathematics, Agriculture, Computer Science or Nutrition.",4.0,200,3,
50,"College of Business Education (CBE), Dar es Salaam",14.,Bachelor degree in Digital Marketing,CBD14,"Two principal passes in the following subjects: Biology, Chemistry, Physics, Geography, Agriculture, Nutrition, Advanced Mathematics, Accountancy, Commerce or Economics.",4.0,100,3,
50,"College of Business Education (CBE), Dar es Salaam",15.,Bachelor Degree in Economics and Finance,CBD15,"Two principal passes in the following subjects: Biology, Chemistry, Physics, History, Geography, Agriculture, Nutrition, Mathematics, Accountancy, Commerce and Economics. If one of the principal passes is not in Advanced Mathematics, an applicant must have at least a Pass in Basic Mathematics at O’Level.",4.0,100,3,
50,"College of Business Education (CBE), Dar es Salaam",16.,Bachelor Degree in Transport and Logistics Management,CBD16,"Two principal passes in the following subjects: Advanced Mathematics, Accountancy, Economics, Commerce, Fine Arts, Geography, Physics, English, History, Chemistry, Biology, Agriculture, Computer Science and Nutrition.",4.0,100,3,
51,"College of Business Education (CBE), Dar es Salaam",17.,Bachelor Degree in Entrepreneurship and Innovation,CBD17,"Two principal passes in the following subjects: History, Geography, Kiswahili, English, Literature, French, Arabic, Fine Arts, Economics, Commerce, Accountancy, Physics, Chemistry, Biology, Advanced Mathematics, Agriculture, Computer Science or Nutrition.",4.0,100,3,
51,"College of Business Education (CBE), Dar es Salaam",18.,Bachelor of Accountancy and Economics with Education,CBD18,"Two principal passes in the following subjects:Advanced Mathematics, Geography,Economics, Accountancy, or Commerce. In addition, one should have a pass in Book- keeping and Commerce subjects at O-level.",4.0,30,3,
51,"College of Business Education (CBE), Dar es Salaam",19.,Bachelor Degree in Commerce and Accountancy with Education,CBD19,"Two principal passes in the following subjects: Advanced Mathematics, Chemistry,Geography, Economics, Biology, Computer studies, Commerce, Accounts and Physics.",4.0,25,3,
51,"College of Business Education (CBE), Dar es Salaam",20.,Bachelor’s Degree of Business Administration (Double Degree),CBD20,"Two principal passes in the following subjects: Accountancy, Economics, Commerce, Advanced Mathematics, Geography, Physics, English, Agriculture, Nutrition, Chemistry, Biology, Computer Science.",4.0,30,4,
52,"College of Business Education (CBE), Dar es Salaam","21,",Bachelor’s Degree in Digital and Technology Solutions Management with Apprenticeship,CBD21,"Two principal passes in the following subjects: Advanced Mathematics, Chemistry, Geography, Economics, Biology, Computer studies, Commerce, Accounts and Physics.",4.0,25,3,
53,"College of Business Education (CBE), Dodoma",1.,Bachelor Degree in Accountancy,CBM01,"Two principal passes in the following subjects: Biology, Chemistry, Physics, Geography, Agriculture, Nutrition, Advanced Mathematics, Accountancy, Commerce, Economics, History, English or Kiswahili. If one of the principal passes is not in Advanced Mathematics an applicant must have at least a Pass in Basic Mathematics at O - Level.",4.0,100,3,
53,"College of Business Education (CBE), Dodoma",2.,Bachelor Degree in Business Administration,CBM02,"Two principal passes in the following subjects: Accountancy, Economics, Commerce, Advanced Mathematics, Geography, Physics, Kiswahili, English, History, Agriculture, Nutrition, Chemistry or Biology.",4.0,100,3,
53,"College of Business Education (CBE), Dodoma",3.,Bachelor Degree in Marketing Management,CBM03,"Two principal passes in the following subjects: History, Geography, Kiswahili, English, Literature, French, Arabic, Fine Arts, Economics, Commerce, Accountancy, Physics, Chemistry, Biology, Advanced Mathematics, Agriculture, Computer Science or Nutrition.",4.0,100,3,
53,"College of Business Education (CBE), Dodoma",4.,Bachelor Degree in Procurement and Supplies Management,CBM04,"Two principal passes in the following subjects: History, Geography, Kiswahili, English, Literature, French, Arabic, Fine Arts, Economics, Commerce, Accountancy, Physics, Chemistry, Biology, Advanced Mathematics, Agriculture, Computer Science or Nutrition.",4.0,100,3,
54,"College of Business Education (CBE), Dodoma",5.,Bachelor Degree in Business Studies with Education,CBM05,"Two principal passes in the following subjects: History, Geography, Kiswahili, English, Literature, French, Arabic, Fine Arts, Economics, Commerce, Accountancy, Physics, Chemistry, Biology, Advanced Mathematics, Agriculture, Computer Science or Nutrition.",4.0,150,3,
54,"College of Business Education (CBE), Dodoma",6.,Bachelor Degree in Information Technology,CBM06,"Two principal passes in the following subjects: Advanced Mathematics, Physics, Chemistry, Biology, Geography, Commerce, Accountancy, Agriculture or Economics.",4.0,50,3,
54,"College of Business Education (CBE), Dodoma",7.,Bachelor Degree of Business Administration in Records and Archives Management,CBM07,"Two principal passes in the following subjects: History, Geography, Kiswahili, English, Literature, French, Arabic, Fine Arts, Economics, Commerce, Accountancy, Physics, Chemistry, Biology, Advanced Mathematics, Agriculture, Computer Science or Nutrition.",4.0,100,3,
54,"College of Business Education (CBE), Dodoma",8.,Bachelor Degree of Business Administration in Human Resources Management,CBM08,"Two principal passes in the following subjects: History, Geography, Kiswahili, English, Literature, French, Arabic, Fine Arts, Economics, Commerce, Accountancy, Physics, Chemistry, Biology, Advanced Mathematics, Agriculture, Computer Science or Nutrition.",4.0,100,3,
55,"College of Business Education (CBE), Dodoma",9.,Bachelor Degree in Accountancy and Taxation,CBM09,"Two principal passes in the following subjects: History, Geography, Kiswahili, English Literature, French, Arabic, Fine Arts, Economics, Commerce, Accountancy, Physics, Chemistry, Biology, Advanced Mathematics, Agriculture, Computer Science or Nutrition.",4.0,200,3,
